,index,fn,tid,title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,emotion
0,119,titles01/tt0093779,tt0093779,Die Braut des Prinzen (1987),die braut des prinzen,http://www.imdb.com/title/tt0093779/,8.2,222749.0,5880.0,1987.0,video.movie,5,8,71,958,662,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
1,131,titles01/tt0107048,tt0107048,...und täglich grüßt das Murmeltier (1993),und t glich gr t das murmeltier,http://www.imdb.com/title/tt0107048/,8.1,309177.0,6060.0,1993.0,video.movie,6,7,55,1237,542,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
2,146,titles01/tt0114709,tt0114709,Toy Story (1995),toy story,http://www.imdb.com/title/tt0114709/,8.3,410650.0,4860.0,1995.0,video.movie,19,13,121,5068,311,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
3,148,titles01/tt0114787,tt0114787,Underground (1995),underground,http://www.imdb.com/title/tt0114787/,8.2,30610.0,10200.0,1995.0,video.movie,6,6,10,38,118,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,happy
4,153,titles01/tt0118715,tt0118715,The Big Lebowski (1998),the big lebowski,http://www.imdb.com/title/tt0118715/,8.2,380503.0,7020.0,1998.0,video.movie,1,9,73,1394,972,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
5,154,titles01/tt0118799,tt0118799,Das Leben ist schön (1997),das leben ist sch n,http://www.imdb.com/title/tt0118799/,8.6,266261.0,6960.0,1997.0,video.movie,56,31,56,98,972,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,happy
6,158,titles01/tt0120382,tt0120382,Die Truman Show (1998),die truman show,http://www.imdb.com/title/tt0120382/,8.0,455656.0,6180.0,1998.0,video.movie,32,37,113,702,789,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,happy
7,161,titles01/tt0120735,tt0120735,Bube Dame König grAS (1998),bube dame k nig gras,http://www.imdb.com/title/tt0120735/,8.2,304448.0,6420.0,1998.0,video.movie,13,7,92,96,509,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
8,174,titles01/tt0198781,tt0198781,Die Monster AG (2001),die monster ag,http://www.imdb.com/title/tt0198781/,8.1,374409.0,5520.0,2001.0,video.movie,14,31,154,104,546,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
9,175,titles01/tt0208092,tt0208092,Snatch - Schweine und Diamanten (2000),snatch schweine und diamanten,http://www.imdb.com/title/tt0208092/,8.4,432193.0,6240.0,2000.0,video.movie,4,5,132,902,696,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,happy
